addr,status,kind,module,name,rom_size
0x080002a0,1,,code_80002A0,VBlank_UpdateGameScreen,600
0x080004f8,1,,code_80002A0,VBlank_UpdateScreenSimple,176
0x080005a8,1,,code_80002A0,HBlankWave_ApplyLineScroll,180
0x0800065c,1,,code_80002A0,VBlankIntr,624
0x080008cc,1,,code_80002A0,Display_ShutdownSequence,160
0x0800096c,1,,code_80002A0,Sio_LinkTask,492
0x08000b58,1,,code_80002A0,System_SoftReset,320
0x08000c98,1,,code_80002A0,HBlankWave_BuildTables,196
0x08000d5c,1,,code_80002A0,LZ_UncompressChunk,192
0x08000e1c,1,,code_80002A0,Intr_SetMode,188
0x08000ed8,1,,code_80002A0,Display_RestartAfterLoad,124
0x08000f54,1,,code_80002A0,System_ResetToLogo,60
0x08000f90,1,,code_80002A0,nullsub_5,4
0x08000f94,1,,code_80002A0,VBlankWait_PumpSound,16
0x08000fa4,1,,code_80002A0,VBlankWaitExit_PumpSound,44
0x08000fd0,1,,code_80002A0,LZ_InitContext,40
0x08000ff8,1,,code_80002A0,Rand_TableNext,28
0x08001014,1,,code_80002A0,EventFlags_ClearAll,28
0x08001030,1,,code_80002A0,EventFlags_Test,32
0x08001050,1,,code_80002A0,EventFlags_Set,32
0x08001070,1,,code_80002A0,EventFlags_Reset,32
0x08001090,1,,code_80002A0,SwitchFlags_ClearAll,28
0x080010ac,1,,code_80002A0,SwitchFlags_Test,32
0x080010cc,1,,code_80002A0,SwitchFlags_Set,32
0x080010ec,1,,code_80002A0,SwitchFlags_Reset,32
0x0800110c,1,,code_80002A0,SwitchFlags_ClearRange,28
0x08001128,1,,code_80002A0,System_Init,200
0x080011f0,1,,code_80002A0,ReadKeysRaw,44
0x0800121c,1,,code_80002A0,ReadKeys,44
0x08001248,1,,code_80002A0,DummyIntr3,4
0x0800124c,1,,code_80002A0,Intr_HandleHBlank,56
0x08001284,1,,code_80002A0,DummyIntr4,4
0x08001288,1,,code_80002A0,DummyIntr5,4
0x0800128c,1,,code_80002A0,AgbMain,44
0x080012b8,1,,code_80002A0,VBlank_UpdateScreenMode5,156
0x08001354,1,,code_80002A0,SceneTransition_Load,484
0x08001538,1,,code_80002A0,NewGame_Init,464
0x08001708,1,,code_80002A0,Scene_EnterMap,288
0x08001828,1,,code_80002A0,Scene_ExitToMenu,172
0x080018d4,1,,code_80002A0,Scene_Reload,424
0x08001a7c,1,,code_80002A0,Scene_EnterDoor,340
0x08001bd0,1,,code_80002A0,Scene_RestoreAfterBattle,312
0x08001d08,1,,code_80002A0,Task_MapExplore,1100
0x08002154,1,,code_80002A0,Sprites_UpdateFrame,556
