status	isa	module	addr	asm_lines	name	note
1	thumb	code_80002A0	0x080002a0	261	VBlank_UpdateGameScreen	
1	thumb	code_80002A0	0x080004f8	73	VBlank_UpdateScreenSimple	
1	thumb	code_80002A0	0x080005a8	82	HBlankWave_ApplyLineScroll	
1	thumb	code_80002A0	0x0800065c	262	VBlankIntr	
1	thumb	code_80002A0	0x080008cc	72	Display_ShutdownSequence	
1	thumb	code_80002A0	0x0800096c	219	Sio_LinkTask	
1	thumb	code_80002A0	0x08000b58	133	System_SoftReset	
1	thumb	code_80002A0	0x08000c98	102	HBlankWave_BuildTables	
1	thumb	code_80002A0	0x08000d5c	102	LZ_UncompressChunk	
1	thumb	code_80002A0	0x08000e1c	77	Intr_SetMode	
1	thumb	code_80002A0	0x08000ed8	61	Display_RestartAfterLoad	
1	thumb	code_80002A0	0x08000f54	22	System_ResetToLogo	
1	thumb	code_80002A0	0x08000f90	1	nullsub_5	
1	thumb	code_80002A0	0x08000f94	5	VBlankWait_PumpSound	
1	thumb	code_80002A0	0x08000fa4	21	VBlankWaitExit_PumpSound	
1	thumb	code_80002A0	0x08000fd0	20	LZ_InitContext	
1	thumb	code_80002A0	0x08000ff8	13	Rand_TableNext	
1	thumb	code_80002A0	0x08001014	14	EventFlags_ClearAll	
1	thumb	code_80002A0	0x08001030	15	EventFlags_Test	
1	thumb	code_80002A0	0x08001050	16	EventFlags_Set	
1	thumb	code_80002A0	0x08001070	16	EventFlags_Reset	
1	thumb	code_80002A0	0x08001090	14	SwitchFlags_ClearAll	
1	thumb	code_80002A0	0x080010ac	15	SwitchFlags_Test	
1	thumb	code_80002A0	0x080010cc	16	SwitchFlags_Set	
1	thumb	code_80002A0	0x080010ec	16	SwitchFlags_Reset	
1	thumb	code_80002A0	0x0800110c	14	SwitchFlags_ClearRange	
1	thumb	code_80002A0	0x08001128	77	System_Init	
1	thumb	code_80002A0	0x080011f0	20	ReadKeysRaw	
1	thumb	code_80002A0	0x0800121c	20	ReadKeys	
1	thumb	code_80002A0	0x08001248	1	DummyIntr3	
1	thumb	code_80002A0	0x0800124c	29	Intr_HandleHBlank	
1	thumb	code_80002A0	0x08001284	1	DummyIntr4	
1	thumb	code_80002A0	0x08001288	1	DummyIntr5	
1	thumb	code_80002A0	0x0800128c	18	AgbMain	
1	thumb	code_80002A0	0x080012b8	62	VBlank_UpdateScreenMode5	
1	thumb	code_80002A0	0x08001354	186	SceneTransition_Load	
1	thumb	code_80002A0	0x08001538	200	NewGame_Init	
1	thumb	code_80002A0	0x08001708	125	Scene_EnterMap	
1	thumb	code_80002A0	0x08001828	76	Scene_ExitToMenu	
1	thumb	code_80002A0	0x080018d4	177	Scene_Reload	
1	thumb	code_80002A0	0x08001a7c	137	Scene_EnterDoor	
1	thumb	code_80002A0	0x08001bd0	116	Scene_RestoreAfterBattle	
1	thumb	code_80002A0	0x08001d08	506	Task_MapExplore	
1	thumb	code_80002A0	0x08002154	268	Sprites_UpdateFrame	
1	thumb	code_80002A0	0x08002380	91	Sprite_SetupDialogArrow	
1	thumb	code_80002A0	0x0800243c	371	Sprite_EnqueueRender	
1	thumb	code_80002A0	0x0800271c	361	Sprite_UpdateCharaAnim	
1	thumb	code_80002A0	0x080029d8	193	Anim_PlayCustom	
1	thumb	code_80002A0	0x08002b54	246	Anim_BuildOamChain	
1	thumb	code_80002A0	0x08002d54	65	CheckEncounter	
1	thumb	code_80002A0	0x08002ddc	186	LogoBlendEffect_Update	
1	thumb	code_80002A0	0x08002f6c	115	LogoAssets_Load	
1	thumb	code_80002A0	0x08003088	15	Task_DispatchGameState	
1	thumb	code_80002A0	0x080030b0	45	SceneTransition_RequestMap	
1	thumb	code_80002A0	0x08003114	6	Task_DialogueFrame	
1	thumb	code_80002A0	0x08003128	25	Task_BattleMenuFrame	
1	thumb	code_80002A0	0x08003168	52	Scene_ReloadViaMenu	
1	thumb	code_80002A0	0x080031e4	6	Task_SaveMenuFrame	
1	thumb	code_80002A0	0x080031f8	5	Task_TextFrame	
1	thumb	code_80002A0	0x08003208	30	Scene_ResetResources	
1	thumb	code_80002A0	0x08003254	6	Anim_StepChara	
1	thumb	code_80002A0	0x08003264	45	PalTransfer_Flush	
1	thumb	code_80002A0	0x080032bc	73	OAM_FlushFromQueue	
1	thumb	code_80002A0	0x08003348	83	Sprites_ReleaseAll	
1	thumb	code_80002A0	0x080033e8	56	Sprites_LoadMapNPCs	✅ 2026-09-04 opencode: 真C落地替换INCLUDE_ASM(原仅asm/matchings); 关键=必须用命名符号(gMapSceneDescriptors/gObjGraphicsSetId/gUnk_08091948/gUnk_087EA394)才复现目标调度(基址ldr在index计算前)+寄存器分配(arg0=r2,id=r3); 裸地址会把-4折进基址且基址载入延后; Chara_InitFromDesc原型改(u8,void*)以触发arg0的u8截断; 新登记gUnk_08091948/gUnk_087EA394(linker.ld); fncheck OK 116B; make+SHA1绿
1	thumb	code_80002A0	0x0800345c	383	Chara_InitFromDesc	
1	thumb	code_80002A0	0x0800375c	62	Chara_InitDialogArrow	
1	thumb	code_80002A0	0x080037dc	55	Chara_InitEffect	
1	thumb	code_80002A0	0x0800384c	60	Chara_InitEffectAtPlayer	
1	thumb	code_80002A0	0x080038cc	61	PendingSpriteLoad_Flush	
0	thumb	code_80002A0	0x08003958	227	Chara_SetWalkPath	
1	thumb	code_80002A0	0x08003b08	175	Chara_ProcessCmdStream	
0	thumb	code_80002A0	0x08003c54	394	Chara_StepMove	
0	thumb	code_80002A0	0x08003f40	208	CheckFacingEvent	⏸ 2026-09-02 codex: 已还原 INCLUDE_ASM；语义/草稿齐全，permuter 最佳 1070 但未字节匹配，待解决入口全局分配与宝箱开关分支布局
0	thumb	code_80002A0	0x080040e4	317	Party_FollowAnim	
1	thumb	code_80002A0	0x08004358	59	Followers_ResetHistory	
